"red","green","blue"
0,0,0.5625
0,0,0.625
0,0,0.6875
0,0,0.75
0,0,0.8125
0,0,0.875
0,0,0.9375
0,0,1
0,0.043478262,1
0,0.086956523,1
0,0.13043478,1
0,0.17391305,1
0,0.2173913,1
0,0.26086956,1
0,0.30434781,1
0,0.34782609,1
0,0.39130434,1
0,0.43478259,1
0,0.47826087,1
0,0.52173913,1
0,0.56521738,1
0,0.60869563,1
0,0.65217394,1
0,0.69565219,1
0,0.73913044,1
0,0.78260869,1
0,0.82608694,1
0,0.86956519,1
0,0.9130435,1
0,0.95652175,1
0,1,1
0.5,1,0.5
1,1,0
1,0.95652175,0
1,0.9130435,0
1,0.86956519,0
1,0.82608694,0
1,0.78260869,0
1,0.73913044,0
1,0.69565219,0
1,0.65217394,0
1,0.60869563,0
1,0.56521738,0
1,0.52173913,0
1,0.47826087,0
1,0.43478259,0
1,0.39130434,0
1,0.34782609,0
1,0.30434781,0
1,0.26086956,0
1,0.2173913,0
1,0.17391305,0
1,0.13043478,0
1,0.086956523,0
1,0.043478262,0
1,0,0
0.9375,0,0
0.875,0,0
0.8125,0,0
0.75,0,0
0.6875,0,0
0.625,0,0
0.5625,0,0
0.5,0,0
